,Sites,Data da Coleta,Data da Viagem,Destino,Empresa,Turno,Precos
73,Mundi,2018-03-27,2018-04-24,BHZ-VIX,TAM,T,155
74,Mundi,2018-03-27,2018-04-24,BHZ-VIX,TAM,N,155
75,Mundi,2018-03-27,2018-04-24,BHZ-VIX,GOL,M,242
76,Mundi,2018-03-27,2018-04-24,BHZ-VIX,GOL,T,-
77,Mundi,2018-03-27,2018-04-24,BHZ-VIX,GOL,N,255
78,Mundi,2018-03-27,2018-04-24,BHZ-VIX,AZUL,M,214
79,Mundi,2018-03-27,2018-04-24,BHZ-VIX,AZUL,T,214
80,Mundi,2018-03-27,2018-04-24,BHZ-VIX,AZUL,N,214
81,Mundi,2018-04-24,2018-05-29,BHZ-VIX,TAM,M,168
82,Mundi,2018-04-24,2018-05-29,BHZ-VIX,TAM,T,171
83,Mundi,2018-04-24,2018-05-29,BHZ-VIX,TAM,N,200
84,Mundi,2018-04-24,2018-05-29,BHZ-VIX,GOL,M,195
85,Mundi,2018-04-24,2018-05-29,BHZ-VIX,GOL,T,
86,Mundi,2018-04-24,2018-05-29,BHZ-VIX,GOL,N,195
87,Mundi,2018-04-24,2018-05-29,BHZ-VIX,AZUL,M,280
88,Mundi,2018-04-24,2018-05-29,BHZ-VIX,AZUL,T,175
89,Mundi,2018-04-24,2018-05-29,BHZ-VIX,AZUL,N,175
90,Mundi,2018-05-29,2018-06-26,BHZ-VIX,TAM,M,176
91,Mundi,2018-05-29,2018-06-26,BHZ-VIX,TAM,T,176
92,Mundi,2018-05-29,2018-06-26,BHZ-VIX,TAM,N,214
93,Mundi,2018-05-29,2018-06-26,BHZ-VIX,GOL,M,181
94,Mundi,2018-05-29,2018-06-26,BHZ-VIX,GOL,T,-
95,Mundi,2018-05-29,2018-06-26,BHZ-VIX,GOL,N,181
96,Mundi,2018-05-29,2018-06-26,BHZ-VIX,AZUL,M,158
97,Mundi,2018-05-29,2018-06-26,BHZ-VIX,AZUL,T,158
98,Mundi,2018-05-29,2018-06-26,BHZ-VIX,AZUL,N,158
99,Mundi,2018-07-31,2018-08-28,BHZ-VIX,TAM,M,166
100,Mundi,2018-07-31,2018-08-28,BHZ-VIX,TAM,T,166
101,Mundi,2018-07-31,2018-08-28,BHZ-VIX,TAM,N,468
102,Mundi,2018-07-31,2018-08-28,BHZ-VIX,GOL,M,233
103,Mundi,2018-07-31,2018-08-28,BHZ-VIX,GOL,T,-
104,Mundi,2018-07-31,2018-08-28,BHZ-VIX,GOL,N,233
105,Mundi,2018-07-31,2018-08-28,BHZ-VIX,AZUL,M,185
106,Mundi,2018-07-31,2018-08-28,BHZ-VIX,AZUL,T,136
107,Mundi,2018-07-31,2018-08-28,BHZ-VIX,AZUL,N,136
108,Mundi,2018-01-30,2018-02-27,RIO-VIX,TAM,M,293
109,Mundi,2018-01-30,2018-02-27,RIO-VIX,TAM,T,239
110,Mundi,2018-01-30,2018-02-27,RIO-VIX,TAM,N,-
111,Mundi,2018-01-30,2018-02-27,RIO-VIX,GOL,M,257
112,Mundi,2018-01-30,2018-02-27,RIO-VIX,GOL,T,262
113,Mundi,2018-01-30,2018-02-27,RIO-VIX,GOL,N,189
114,Mundi,2018-01-30,2018-02-27,RIO-VIX,AZUL,M,185
115,Mundi,2018-01-30,2018-02-27,RIO-VIX,AZUL,T,185
116,Mundi,2018-01-30,2018-02-27,RIO-VIX,AZUL,N,185
117,Mundi,2018-02-27,2018-03-27,RIO-VIX,TAM,M,222
118,Mundi,2018-02-27,2018-03-27,RIO-VIX,TAM,T,-
119,Mundi,2018-02-27,2018-03-27,RIO-VIX,TAM,N,222
120,Mundi,2018-02-27,2018-03-27,RIO-VIX,GOL,M,188
121,Mundi,2018-02-27,2018-03-27,RIO-VIX,GOL,T,161
122,Mundi,2018-02-27,2018-03-27,RIO-VIX,GOL,N,188
123,Mundi,2018-02-27,2018-03-27,RIO-VIX,AZUL,M,160
124,Mundi,2018-02-27,2018-03-27,RIO-VIX,AZUL,T,180
125,Mundi,2018-02-27,2018-03-27,RIO-VIX,AZUL,N,215
126,Mundi,2018-03-27,2018-04-24,RIO-VIX,TAM,M,165
127,Mundi,2018-03-27,2018-04-24,RIO-VIX,TAM,T,-
128,Mundi,2018-03-27,2018-04-24,RIO-VIX,TAM,N,266
129,Mundi,2018-03-27,2018-04-24,RIO-VIX,GOL,M,185
130,Mundi,2018-03-27,2018-04-24,RIO-VIX,GOL,T,159
131,Mundi,2018-03-27,2018-04-24,RIO-VIX,GOL,N,159
132,Mundi,2018-03-27,2018-04-24,RIO-VIX,AZUL,M,152
133,Mundi,2018-03-27,2018-04-24,RIO-VIX,AZUL,T,152
134,Mundi,2018-03-27,2018-04-24,RIO-VIX,AZUL,N,215
135,Mundi,2018-04-24,2018-05-29,RIO-VIX,TAM,M,181
136,Mundi,2018-04-24,2018-05-29,RIO-VIX,TAM,T,189
137,Mundi,2018-04-24,2018-05-29,RIO-VIX,TAM,N,
138,Mundi,2018-04-24,2018-05-29,RIO-VIX,GOL,M,176
139,Mundi,2018-04-24,2018-05-29,RIO-VIX,GOL,T,183
140,Mundi,2018-04-24,2018-05-29,RIO-VIX,GOL,N,183
141,Mundi,2018-04-24,2018-05-29,RIO-VIX,AZUL,M,147
142,Mundi,2018-04-24,2018-05-29,RIO-VIX,AZUL,T,356
143,Mundi,2018-04-24,2018-05-29,RIO-VIX,AZUL,N,202
144,Mundi,2018-05-29,2018-06-26,RIO-VIX,TAM,M,227
145,Mundi,2018-05-29,2018-06-26,RIO-VIX,TAM,T,585
146,Mundi,2018-05-29,2018-06-26,RIO-VIX,TAM,N,585
147,Mundi,2018-05-29,2018-06-26,RIO-VIX,GOL,M,181
148,Mundi,2018-05-29,2018-06-26,RIO-VIX,GOL,T,181
149,Mundi,2018-05-29,2018-06-26,RIO-VIX,GOL,N,181
150,Mundi,2018-05-29,2018-06-26,RIO-VIX,AZUL,M,153
151,Mundi,2018-05-29,2018-06-26,RIO-VIX,AZUL,T,153
152,Mundi,2018-05-29,2018-06-26,RIO-VIX,AZUL,N,176
153,Mundi,2018-07-31,2018-08-28,RIO-VIX,TAM,M,276
154,Mundi,2018-07-31,2018-08-28,RIO-VIX,TAM,T,400
155,Mundi,2018-07-31,2018-08-28,RIO-VIX,TAM,N,-
156,Mundi,2018-07-31,2018-08-28,RIO-VIX,GOL,M,165
157,Mundi,2018-07-31,2018-08-28,RIO-VIX,GOL,T,164
158,Mundi,2018-07-31,2018-08-28,RIO-VIX,GOL,N,164
159,Mundi,2018-07-31,2018-08-28,RIO-VIX,AZUL,M,172
160,Mundi,2018-07-31,2018-08-28,RIO-VIX,AZUL,T,-
161,Mundi,2018-07-31,2018-08-28,RIO-VIX,AZUL,N,172
162,Mundi,2018-01-30,2018-02-27,REC-VIX,TAM,M,710
163,Mundi,2018-01-30,2018-02-27,REC-VIX,TAM,T,745
164,Mundi,2018-01-30,2018-02-27,REC-VIX,TAM,N,773
165,Mundi,2018-01-30,2018-02-27,REC-VIX,GOL,M,757
166,Mundi,2018-01-30,2018-02-27,REC-VIX,GOL,T,454
167,Mundi,2018-01-30,2018-02-27,REC-VIX,GOL,N,882
168,Mundi,2018-01-30,2018-02-27,REC-VIX,AZUL,M,456
169,Mundi,2018-01-30,2018-02-27,REC-VIX,AZUL,T,547
170,Mundi,2018-01-30,2018-02-27,REC-VIX,AZUL,N,572
171,Mundi,2018-02-27,2018-03-27,REC-VIX,TAM,M,1035
172,Mundi,2018-02-27,2018-03-27,REC-VIX,TAM,T,907
173,Mundi,2018-02-27,2018-03-27,REC-VIX,TAM,N,574
174,Mundi,2018-02-27,2018-03-27,REC-VIX,GOL,M,608
175,Mundi,2018-02-27,2018-03-27,REC-VIX,GOL,T,534
176,Mundi,2018-02-27,2018-03-27,REC-VIX,GOL,N,-
177,Mundi,2018-02-27,2018-03-27,REC-VIX,AZUL,M,509
178,Mundi,2018-02-27,2018-03-27,REC-VIX,AZUL,T,498
179,Mundi,2018-02-27,2018-03-27,REC-VIX,AZUL,N,524
180,Mundi,2018-03-27,2018-04-24,REC-VIX,TAM,M,489
181,Mundi,2018-03-27,2018-04-24,REC-VIX,TAM,T,1007
182,Mundi,2018-03-27,2018-04-24,REC-VIX,TAM,N,491
183,Mundi,2018-03-27,2018-04-24,REC-VIX,GOL,M,1130
184,Mundi,2018-03-27,2018-04-24,REC-VIX,GOL,T,772
185,Mundi,2018-03-27,2018-04-24,REC-VIX,GOL,N,597
186,Mundi,2018-03-27,2018-04-24,REC-VIX,AZUL,M,367
187,Mundi,2018-03-27,2018-04-24,REC-VIX,AZUL,T,390
188,Mundi,2018-03-27,2018-04-24,REC-VIX,AZUL,N,518
189,Mundi,2018-04-24,2018-05-29,REC-VIX,TAM,M,394
190,Mundi,2018-04-24,2018-05-29,REC-VIX,TAM,T,702
191,Mundi,2018-04-24,2018-05-29,REC-VIX,TAM,N,787
192,Mundi,2018-04-24,2018-05-29,REC-VIX,GOL,M,509
193,Mundi,2018-04-24,2018-05-29,REC-VIX,GOL,T,458
194,Mundi,2018-04-24,2018-05-29,REC-VIX,GOL,N,
195,Mundi,2018-04-24,2018-05-29,REC-VIX,AZUL,M,333
196,Mundi,2018-04-24,2018-05-29,REC-VIX,AZUL,T,384
197,Mundi,2018-04-24,2018-05-29,REC-VIX,AZUL,N,765
198,Mundi,2018-05-29,2018-06-26,REC-VIX,TAM,M,451
199,Mundi,2018-05-29,2018-06-26,REC-VIX,TAM,T,451
200,Mundi,2018-05-29,2018-06-26,REC-VIX,TAM,N,451
201,Mundi,2018-05-29,2018-06-26,REC-VIX,GOL,M,656
202,Mundi,2018-05-29,2018-06-26,REC-VIX,GOL,T,656
203,Mundi,2018-05-29,2018-06-26,REC-VIX,GOL,N,-
204,Mundi,2018-05-29,2018-06-26,REC-VIX,AZUL,M,368
205,Mundi,2018-05-29,2018-06-26,REC-VIX,AZUL,T,378
206,Mundi,2018-05-29,2018-06-26,REC-VIX,AZUL,N,547
207,Mundi,2018-07-31,2018-08-28,REC-VIX,TAM,M,446
208,Mundi,2018-07-31,2018-08-28,REC-VIX,TAM,T,446
209,Mundi,2018-07-31,2018-08-28,REC-VIX,TAM,N,334
210,Mundi,2018-07-31,2018-08-28,REC-VIX,GOL,M,748
211,Mundi,2018-07-31,2018-08-28,REC-VIX,GOL,T,376
212,Mundi,2018-07-31,2018-08-28,REC-VIX,GOL,N,-
213,Mundi,2018-07-31,2018-08-28,REC-VIX,AZUL,M,611
214,Mundi,2018-07-31,2018-08-28,REC-VIX,AZUL,T,786
215,Mundi,2018-07-31,2018-08-28,REC-VIX,AZUL,N,743
216,Mundi,2018-01-30,2018-02-27,SSA-VIX,TAM,M,468
217,Mundi,2018-01-30,2018-02-27,SSA-VIX,TAM,T,-
218,Mundi,2018-01-30,2018-02-27,SSA-VIX,TAM,N,-
219,Mundi,2018-01-30,2018-02-27,SSA-VIX,GOL,M,551
220,Mundi,2018-01-30,2018-02-27,SSA-VIX,GOL,T,482
221,Mundi,2018-01-30,2018-02-27,SSA-VIX,GOL,N,-
222,Mundi,2018-01-30,2018-02-27,SSA-VIX,AZUL,M,464
223,Mundi,2018-01-30,2018-02-27,SSA-VIX,AZUL,T,464
224,Mundi,2018-01-30,2018-02-27,SSA-VIX,AZUL,N,525
225,Mundi,2018-02-27,2018-03-27,SSA-VIX,TAM,M,473
226,Mundi,2018-02-27,2018-03-27,SSA-VIX,TAM,T,468
227,Mundi,2018-02-27,2018-03-27,SSA-VIX,TAM,N,-
228,Mundi,2018-02-27,2018-03-27,SSA-VIX,GOL,M,608
229,Mundi,2018-02-27,2018-03-27,SSA-VIX,GOL,T,534
230,Mundi,2018-02-27,2018-03-27,SSA-VIX,GOL,N,-
231,Mundi,2018-02-27,2018-03-27,SSA-VIX,AZUL,M,437
232,Mundi,2018-02-27,2018-03-27,SSA-VIX,AZUL,T,368
233,Mundi,2018-02-27,2018-03-27,SSA-VIX,AZUL,N,586
234,Mundi,2018-03-27,2018-04-24,SSA-VIX,TAM,M,468
235,Mundi,2018-03-27,2018-04-24,SSA-VIX,TAM,T,468
236,Mundi,2018-03-27,2018-04-24,SSA-VIX,TAM,N,470
237,Mundi,2018-03-27,2018-04-24,SSA-VIX,GOL,M,334
238,Mundi,2018-03-27,2018-04-24,SSA-VIX,GOL,T,837
239,Mundi,2018-03-27,2018-04-24,SSA-VIX,GOL,N,-
240,Mundi,2018-03-27,2018-04-24,SSA-VIX,AZUL,M,444
241,Mundi,2018-03-27,2018-04-24,SSA-VIX,AZUL,T,323
242,Mundi,2018-03-27,2018-04-24,SSA-VIX,AZUL,N,390
243,Mundi,2018-04-24,2018-05-29,SSA-VIX,TAM,M,405
244,Mundi,2018-04-24,2018-05-29,SSA-VIX,TAM,T,520
245,Mundi,2018-04-24,2018-05-29,SSA-VIX,TAM,N,673
246,Mundi,2018-04-24,2018-05-29,SSA-VIX,GOL,M,499
247,Mundi,2018-04-24,2018-05-29,SSA-VIX,GOL,T,467
248,Mundi,2018-04-24,2018-05-29,SSA-VIX,GOL,N,436
249,Mundi,2018-04-24,2018-05-29,SSA-VIX,AZUL,M,375
250,Mundi,2018-04-24,2018-05-29,SSA-VIX,AZUL,T,427
251,Mundi,2018-04-24,2018-05-29,SSA-VIX,AZUL,N,427
252,Mundi,2018-05-29,2018-06-26,SSA-VIX,TAM,M,533
253,Mundi,2018-05-29,2018-06-26,SSA-VIX,TAM,T,580
254,Mundi,2018-05-29,2018-06-26,SSA-VIX,TAM,N,-
255,Mundi,2018-05-29,2018-06-26,SSA-VIX,GOL,M,554
256,Mundi,2018-05-29,2018-06-26,SSA-VIX,GOL,T,554
257,Mundi,2018-05-29,2018-06-26,SSA-VIX,GOL,N,541
258,Mundi,2018-05-29,2018-06-26,SSA-VIX,AZUL,M,581
259,Mundi,2018-05-29,2018-06-26,SSA-VIX,AZUL,T,498
260,Mundi,2018-05-29,2018-06-26,SSA-VIX,AZUL,N,498
261,Mundi,2018-07-31,2018-08-28,SSA-VIX,TAM,M,309
262,Mundi,2018-07-31,2018-08-28,SSA-VIX,TAM,T,309
263,Mundi,2018-07-31,2018-08-28,SSA-VIX,TAM,N,-
264,Mundi,2018-07-31,2018-08-28,SSA-VIX,GOL,M,446
265,Mundi,2018-07-31,2018-08-28,SSA-VIX,GOL,T,173
266,Mundi,2018-07-31,2018-08-28,SSA-VIX,GOL,N,446
267,Mundi,2018-07-31,2018-08-28,SSA-VIX,AZUL,M,697
268,Mundi,2018-07-31,2018-08-28,SSA-VIX,AZUL,T,512
269,Mundi,2018-07-31,2018-08-28,SSA-VIX,AZUL,N,661
270,Mundi,2018-01-30,2018-02-27,POA-VIX,TAM,M,329
271,Mundi,2018-01-30,2018-02-27,POA-VIX,TAM,T,291
272,Mundi,2018-01-30,2018-02-27,POA-VIX,TAM,N,360
273,Mundi,2018-01-30,2018-02-27,POA-VIX,GOL,M,312
274,Mundi,2018-01-30,2018-02-27,POA-VIX,GOL,T,312
275,Mundi,2018-01-30,2018-02-27,POA-VIX,GOL,N,312
276,Mundi,2018-01-30,2018-02-27,POA-VIX,AZUL,M,302
277,Mundi,2018-01-30,2018-02-27,POA-VIX,AZUL,T,302
278,Mundi,2018-01-30,2018-02-27,POA-VIX,AZUL,N,334
279,Mundi,2018-02-27,2018-03-27,POA-VIX,TAM,M,248
280,Mundi,2018-02-27,2018-03-27,POA-VIX,TAM,T,363
281,Mundi,2018-02-27,2018-03-27,POA-VIX,TAM,N,561
282,Mundi,2018-02-27,2018-03-27,POA-VIX,GOL,M,288
283,Mundi,2018-02-27,2018-03-27,POA-VIX,GOL,T,288
284,Mundi,2018-02-27,2018-03-27,POA-VIX,GOL,N,288
285,Mundi,2018-02-27,2018-03-27,POA-VIX,AZUL,M,241
286,Mundi,2018-02-27,2018-03-27,POA-VIX,AZUL,T,242
287,Mundi,2018-02-27,2018-03-27,POA-VIX,AZUL,N,284
288,Mundi,2018-03-27,2018-04-24,POA-VIX,TAM,M,248
289,Mundi,2018-03-27,2018-04-24,POA-VIX,TAM,T,248
290,Mundi,2018-03-27,2018-04-24,POA-VIX,TAM,N,252
291,Mundi,2018-03-27,2018-04-24,POA-VIX,GOL,M,248
292,Mundi,2018-03-27,2018-04-24,POA-VIX,GOL,T,248
293,Mundi,2018-03-27,2018-04-24,POA-VIX,GOL,N,567
294,Mundi,2018-03-27,2018-04-24,POA-VIX,AZUL,M,217
295,Mundi,2018-03-27,2018-04-24,POA-VIX,AZUL,T,217
296,Mundi,2018-03-27,2018-04-24,POA-VIX,AZUL,N,217
297,Mundi,2018-04-24,2018-05-29,POA-VIX,TAM,M,223
298,Mundi,2018-04-24,2018-05-29,POA-VIX,TAM,T,441
299,Mundi,2018-04-24,2018-05-29,POA-VIX,TAM,N,
300,Mundi,2018-04-24,2018-05-29,POA-VIX,GOL,M,220
301,Mundi,2018-04-24,2018-05-29,POA-VIX,GOL,T,251
302,Mundi,2018-04-24,2018-05-29,POA-VIX,GOL,N,256
303,Mundi,2018-04-24,2018-05-29,POA-VIX,AZUL,M,213
304,Mundi,2018-04-24,2018-05-29,POA-VIX,AZUL,T,216
305,Mundi,2018-04-24,2018-05-29,POA-VIX,AZUL,N,215
306,Mundi,2018-05-29,2018-06-26,POA-VIX,TAM,M,269
307,Mundi,2018-05-29,2018-06-26,POA-VIX,TAM,T,269
308,Mundi,2018-05-29,2018-06-26,POA-VIX,TAM,N,272
309,Mundi,2018-05-29,2018-06-26,POA-VIX,GOL,M,256
310,Mundi,2018-05-29,2018-06-26,POA-VIX,GOL,T,256
311,Mundi,2018-05-29,2018-06-26,POA-VIX,GOL,N,256
312,Mundi,2018-05-29,2018-06-26,POA-VIX,AZUL,M,205
313,Mundi,2018-05-29,2018-06-26,POA-VIX,AZUL,T,235
314,Mundi,2018-05-29,2018-06-26,POA-VIX,AZUL,N,252
315,Mundi,2018-07-31,2018-08-28,POA-VIX,TAM,M,230
316,Mundi,2018-07-31,2018-08-28,POA-VIX,TAM,T,-
317,Mundi,2018-07-31,2018-08-28,POA-VIX,TAM,N,230
318,Mundi,2018-07-31,2018-08-28,POA-VIX,GOL,M,377
319,Mundi,2018-07-31,2018-08-28,POA-VIX,GOL,T,377
320,Mundi,2018-07-31,2018-08-28,POA-VIX,GOL,N,377
321,Mundi,2018-07-31,2018-08-28,POA-VIX,AZUL,M,205
322,Mundi,2018-07-31,2018-08-28,POA-VIX,AZUL,T,205
323,Mundi,2018-07-31,2018-08-28,POA-VIX,AZUL,N,205
324,Mundi,2018-01-30,2018-02-27,BSB-VIX,TAM,M,206
325,Mundi,2018-01-30,2018-02-27,BSB-VIX,TAM,T,206
326,Mundi,2018-01-30,2018-02-27,BSB-VIX,TAM,N,206
327,Mundi,2018-01-30,2018-02-27,BSB-VIX,GOL,M,259
328,Mundi,2018-01-30,2018-02-27,BSB-VIX,GOL,T,259
329,Mundi,2018-01-30,2018-02-27,BSB-VIX,GOL,N,234
330,Mundi,2018-01-30,2018-02-27,BSB-VIX,AZUL,M,225
331,Mundi,2018-01-30,2018-02-27,BSB-VIX,AZUL,T,225
332,Mundi,2018-01-30,2018-02-27,BSB-VIX,AZUL,N,225
333,Mundi,2018-02-27,2018-03-27,BSB-VIX,TAM,M,199
334,Mundi,2018-02-27,2018-03-27,BSB-VIX,TAM,T,199
335,Mundi,2018-02-27,2018-03-27,BSB-VIX,TAM,N,199
336,Mundi,2018-02-27,2018-03-27,BSB-VIX,GOL,M,269
337,Mundi,2018-02-27,2018-03-27,BSB-VIX,GOL,T,263
338,Mundi,2018-02-27,2018-03-27,BSB-VIX,GOL,N,269
339,Mundi,2018-02-27,2018-03-27,BSB-VIX,AZUL,M,178
340,Mundi,2018-02-27,2018-03-27,BSB-VIX,AZUL,T,178
341,Mundi,2018-02-27,2018-03-27,BSB-VIX,AZUL,N,178
342,Mundi,2018-03-27,2018-04-24,BSB-VIX,TAM,M,208
343,Mundi,2018-03-27,2018-04-24,BSB-VIX,TAM,T,208
344,Mundi,2018-03-27,2018-04-24,BSB-VIX,TAM,N,208
345,Mundi,2018-03-27,2018-04-24,BSB-VIX,GOL,M,229
346,Mundi,2018-03-27,2018-04-24,BSB-VIX,GOL,T,229
347,Mundi,2018-03-27,2018-04-24,BSB-VIX,GOL,N,274
348,Mundi,2018-03-27,2018-04-24,BSB-VIX,AZUL,M,184
349,Mundi,2018-03-27,2018-04-24,BSB-VIX,AZUL,T,188
350,Mundi,2018-03-27,2018-04-24,BSB-VIX,AZUL,N,188
351,Mundi,2018-04-24,2018-05-29,BSB-VIX,TAM,M,228
352,Mundi,2018-04-24,2018-05-29,BSB-VIX,TAM,T,228
353,Mundi,2018-04-24,2018-05-29,BSB-VIX,TAM,N,258
354,Mundi,2018-04-24,2018-05-29,BSB-VIX,GOL,M,269
355,Mundi,2018-04-24,2018-05-29,BSB-VIX,GOL,T,269
356,Mundi,2018-04-24,2018-05-29,BSB-VIX,GOL,N,269
357,Mundi,2018-04-24,2018-05-29,BSB-VIX,AZUL,M,201
358,Mundi,2018-04-24,2018-05-29,BSB-VIX,AZUL,T,201
359,Mundi,2018-04-24,2018-05-29,BSB-VIX,AZUL,N,201
360,Mundi,2018-05-29,2018-06-26,BSB-VIX,TAM,M,191
361,Mundi,2018-05-29,2018-06-26,BSB-VIX,TAM,T,191
362,Mundi,2018-05-29,2018-06-26,BSB-VIX,TAM,N,255
363,Mundi,2018-05-29,2018-06-26,BSB-VIX,GOL,M,292
364,Mundi,2018-05-29,2018-06-26,BSB-VIX,GOL,T,292
365,Mundi,2018-05-29,2018-06-26,BSB-VIX,GOL,N,292
366,Mundi,2018-05-29,2018-06-26,BSB-VIX,AZUL,M,215
367,Mundi,2018-05-29,2018-06-26,BSB-VIX,AZUL,T,218
368,Mundi,2018-05-29,2018-06-26,BSB-VIX,AZUL,N,218
369,Mundi,2018-07-31,2018-08-28,BSB-VIX,TAM,M,201
370,Mundi,2018-07-31,2018-08-28,BSB-VIX,TAM,T,201
371,Mundi,2018-07-31,2018-08-28,BSB-VIX,TAM,N,238
372,Mundi,2018-07-31,2018-08-28,BSB-VIX,GOL,M,341
373,Mundi,2018-07-31,2018-08-28,BSB-VIX,GOL,T,341
